"campaign_id","start_date","end_date","ad_budget","transaction_count","monthly_revenue","clicks","impressions"
"CAMP_001",2023-01-01,2023-01-10,1000,16,1035,800,80000
"CAMP_002",2023-02-01,2023-02-10,1000,28,1687.5,1400,140000
"CAMP_003",2023-03-01,2023-03-10,1000,24,1365,1200,120000
"CAMP_004",2023-04-01,2023-04-10,1000,23,1875,1150,115000
"CAMP_005",2023-05-01,2023-05-10,1000,28,2472.5,1400,140000
"CAMP_006",2023-06-01,2023-06-10,1000,27,2225,1350,135000
"CAMP_007",2023-07-01,2023-07-10,1000,28,2107.5,1400,140000
"CAMP_008",2023-08-01,2023-08-10,1000,27,2137.5,1350,135000
"CAMP_009",2023-09-01,2023-09-10,1000,33,2490,1650,165000
"CAMP_010",2023-10-01,2023-10-10,1000,28,1990,1400,140000
"CAMP_011",2023-11-01,2023-11-10,1000,30,2222.5,1500,150000
"CAMP_012",2023-12-01,2023-12-10,1000,23,1725,1150,115000
"CAMP_013",2024-01-01,2024-01-10,1000,35,3635,1750,175000
"CAMP_014",2024-02-01,2024-02-10,1000,25,1192.5,1250,125000
"CAMP_015",2024-03-01,2024-03-10,1000,26,1570,1300,130000
"CAMP_016",2024-04-01,2024-04-10,1000,24,2060,1200,120000
"CAMP_017",2024-05-01,2024-05-10,1000,26,2060,1300,130000
"CAMP_018",2024-06-01,2024-06-10,1000,31,2397.5,1550,155000
"CAMP_019",2024-07-01,2024-07-10,1000,18,867.5,900,90000
"CAMP_020",2024-08-01,2024-08-10,1000,26,1747.5,1300,130000
"CAMP_021",2024-09-01,2024-09-10,1000,20,1762.5,1000,1e+05
"CAMP_022",2024-10-01,2024-10-10,1000,23,1397.5,1150,115000
"CAMP_023",2024-11-01,2024-11-10,1000,18,1030,900,90000
"CAMP_024",2024-12-01,2024-12-10,1000,28,2185,1400,140000
