"transaction_id","session_id","date","user_id","product_id","quantity","revenue"
"wEE6IOukhZji","U9GQumJNbk",2023-01-01,6262,"01-MB",3,90
"RmGUZSnAEuvg","2GjSRBNdtA",2023-01-01,4088,"01-MB",1,30
"a4h9gQZAYsuJ","jwCa6aHpF4",2023-01-01,11590,"01-MB",4,120
"TfFbwkcR9XsK","nUFXaeylAp",2023-01-01,16263,"01-SB",5,75
"pINNwJkDx5j8","sP9piWzYye",2023-01-01,724,"01-MB",5,150
"57Igk3s1jruY","uzgjSVH1Mb",2023-01-01,9479,"02-CBC",3,22.5
"PahyyD58YVyS","rjY366Ryck",2023-01-01,12360,"02-DBC",2,20
"XLhk9zo8K9oj","uqcdrQFkKP",2023-01-01,16100,"01-SB",5,75
"2VLQu39W5mgb","cPDtFUZJom",2023-01-01,33490704,"01-LB",1,55
"25vzDdQ6y3kP","2iIzD6d7cq",2023-01-01,46088109,"01-SB",1,15
"1Zg6EbDd67LS","OQslHm1XKx",2023-01-02,19534,"02-CBC",5,37.5
"9qBYF0zA2Q14","tfJuqlMePC",2023-01-02,536,"01-MB",1,30
"jq99ZRKQPwhX","ZiW7dvAARY",2023-01-02,15995,"02-DBC",3,30
"NAZr4kaVEZrL","wC3rim09GC",2023-01-02,6124,"02-CBC",2,15
"viyIuO7BvCCd","cRfmZLYxXF",2023-01-02,16853,"02-DBC",5,50
"qD6OmJllwQ6V","sSTTWOnqWL",2023-01-02,2948,"02-CBC",3,22.5
"lCBgdkn8DEys","HoktWxuj4r",2023-01-02,82009985,"01-LB",4,220
"SovxxA0MRpXM","lRd6SkfU1q",2023-01-02,53667204,"01-SB",5,75
"kMQ5wC1MG6yF","7ztsdnMcQK",2023-01-03,2623,"01-MB",3,90
"9VWkXSw0uPCe","GZn3Ig45Nx",2023-01-03,6624,"01-SB",5,75
"t8HjgKUz35ky","8GKEoHm4HZ",2023-01-03,1950,"01-SB",2,30
"dBypKJuvUt6B","SjgzSjgJ51",2023-01-03,13607,"01-LB",3,165
"KaVan9Ch08xN","Z6FRFD5U3Z",2023-01-03,6093,"01-LB",2,110
"I1o7ZjscbwD4","LDemCTGRPb",2023-01-03,19664,"01-LB",1,55
"shm0h2LYGjPh","9CgNQF1CHW",2023-01-03,13141,"02-CBC",3,22.5
"JzoP0YLmhYaO","ItgXwQ3IBu",2023-01-03,2813,"02-CBC",1,7.5
"dnOD8JrkpLmX","Dy1p0CI6cB",2023-01-03,2046,"01-SB",5,75
"JgRPR5pzOgbb","OU3rsL1Jnb",2023-01-03,38532211,"02-CBC",3,22.5
"1FFaRP55Vlch","Na1wCZ0LFX",2023-01-04,8479,"02-CBC",2,15
"dLjvOM1KjRq2","fiLiEPLETv",2023-01-04,16534,"01-SB",3,45
"PSLs8ap89D4Y","TomborlBTU",2023-01-04,18652,"02-DBC",4,40
"dv9DZtmYNB4l","jWwZuz6IEK",2023-01-04,999,"01-MB",1,30
"YPLny1Mddu3m","QpHBMgfVIQ",2023-01-05,5818,"02-DBC",3,30
"DiJ3PpBmhGeW","7V8AowdAhF",2023-01-05,3031,"01-LB",1,55
"NPCjR6OOKvFg","Ea2MxN5tRv",2023-01-05,4297,"01-LB",1,55
"YRmBD7YZDP8H","4nVnuZUsAM",2023-01-05,15651,"02-DBC",4,40
"JWJWvNLsDR4R","FuIwfTmnnj",2023-01-05,236,"02-DBC",4,40
"Fwt6LUQOd7DU","Qd8bDMo3Uh",2023-01-05,17356,"01-LB",4,220
"7NQmbuhMwVWT","G4vw7aITl9",2023-01-05,98246163,"02-CBC",1,7.5
"mdnNKjLNixgG","9LyS1IEl5i",2023-01-05,73560592,"01-LB",3,165
"UoZ2MuCju31J","XW9xI9BAKp",2023-01-06,5274,"02-CBC",5,37.5
"5csLwpxrPaDj","k0kr14JSeL",2023-01-06,558,"01-MB",3,90
"Df9DLVuCM2LQ","VJnM9fCVEz",2023-01-06,4695,"01-MB",1,30
"mLh2g3wvSIvk","8Di5aqpaVd",2023-01-06,3143,"02-CBC",4,30
"3Ayh4a38c2Z7","wPni3C1vHp",2023-01-06,8689,"02-DBC",2,20
"MWuFlQYXk9bx","xKRlSzgyj7",2023-01-06,21255485,"01-SB",3,45
"VgYTeIciv4qB","QWWY5fRXML",2023-01-07,15016,"01-LB",3,165
"Zsd6gwukSWjK","lZVgcxKK6m",2023-01-07,13453,"01-LB",3,165
"32xZhnadu10s","C2IlYabUxo",2023-01-07,5834,"01-SB",2,30
"8zBbU7gfPEdF","Vbnoi8aJHG",2023-01-07,3423,"02-DBC",2,20
"05t7CqsyHA71","LLggl8pPON",2023-01-07,6386,"01-SB",2,30
"3MrfCa4XoWZ5","VUqO0A6U3N",2023-01-07,17950,"02-CBC",2,15
"eWhYPYGdNTAb","EMxEhri9DM",2023-01-07,2952,"01-SB",3,45
"IwiJxeyx0Xta","TyrYK9ZIvv",2023-01-07,3182,"01-SB",5,75
"Moar7rqoU3cS","uiwhafVuE8",2023-01-08,19725,"01-SB",2,30
"n7WGpWg6CQr3","ze9FPAauYx",2023-01-08,15294,"02-DBC",5,50
"e0nGwLqIn3Fm","Cqxuo1vdu0",2023-01-08,12804,"02-CBC",5,37.5
"nU6LDjgeu5YQ","aEgNvJNa10",2023-01-08,9303,"01-LB",2,110
"FCZSGoDSocvV","Rcs68bny8u",2023-01-08,15657,"02-DBC",5,50
"7przdsEKGZaA","YqNXaJzeMu",2023-01-08,5013,"02-CBC",4,30
"uJUXfLjlspae","l1FdV7qNJW",2023-01-08,18153,"01-MB",2,60
"WglKC9cgAKfU","XXDGYccJqZ",2023-01-08,19461,"02-DBC",3,30
"RZ2ceOmJ1Zle","h31QtvQz9V",2023-01-08,48373953,"01-SB",3,45
"CxpnZCFLFxb9","7ZRYZcfp5d",2023-01-08,59835369,"02-DBC",1,10
"K6F5d7s2uWqE","wm7CxauSgp",2023-01-09,13272,"01-LB",2,110
"nXslQin5Ytv7","5JVLBREWnX",2023-01-09,15108,"01-SB",1,15
"UXoCB6aVRwBQ","gPlLE7QGbQ",2023-01-09,17523,"02-CBC",4,30
"gViosMQDxjES","ukzA6tb5u3",2023-01-09,19111,"01-SB",3,45
"zcKUjLsKJ34Z","ctEs78NT77",2023-01-09,12056,"02-CBC",1,7.5
"blAjwnapiCvK","1lpf53OSWu",2023-01-09,11231,"02-CBC",5,37.5
"2chegNUfd4ry","yUUdc6Vm1G",2023-01-09,6599,"02-CBC",3,22.5
"wfNai1ANWzEQ","13iCQ78m5D",2023-01-09,95090047,"01-LB",1,55
"oFhmt0Efjvbd","VGSkXYt3Ed",2023-01-09,78479113,"01-SB",1,15
"5puwWgTRBSrJ","m31BhbMGhw",2023-01-09,93572129,"02-CBC",2,15
"McRH6E0iPlhg","JT8PoslBcK",2023-01-10,19129,"01-LB",4,220
"JQr99Q8Qmfqo","FEGgmd6h8m",2023-01-10,468,"01-SB",5,75
"3yswkfi3xDTA","v63j1jbpMp",2023-01-10,4210,"02-DBC",1,10
"5MiunavXlygX","84nDpmIw3f",2023-01-10,11804,"01-SB",4,60
"Rz9BHC21WFdg","v1tJn1Ni5N",2023-01-10,16981,"01-SB",2,30
"sEURrfonCXdP","APfFpDti4w",2023-01-10,8008,"01-SB",5,75
"N4CwNRqYePsi","m64Tkqswzc",2023-01-10,54242290,"01-MB",5,150
"C7jWR2IwsCj3","xP0CiYucCK",2023-01-10,99601987,"01-LB",2,110
"nRPGaDtIC2GJ","VKVP2HmfUK",2023-01-10,40845981,"02-CBC",4,30
"ehhuXKAI3bb1","oW6LGuIYPY",2023-01-11,6934,"01-LB",5,275
"8jubedj1XCtD","r5T5OdhPRL",2023-01-11,8015,"02-DBC",3,30
"gye3HozVTUGW","yOktK0JhY1",2023-01-11,1092,"01-LB",2,110
"BHoAtEsp0TJM","5qb8wDzhFr",2023-01-11,9226,"01-MB",4,120
"VzrA3KPh2hEu","quLFQ12clp",2023-01-11,18340,"02-CBC",3,22.5
"JgEFWcSL0W63","hgZ5OP5mUT",2023-01-11,3948,"01-LB",5,275
"uyhZ2iboF6Sb","8ZNE1vrX5y",2023-01-11,12964,"02-DBC",3,30
"VF3j5DeOZT5a","zYgastzlCZ",2023-01-11,6717,"02-CBC",5,37.5
"9FykQPAbBmcm","dTYQrF8Ul0",2023-01-11,17814,"01-SB",1,15
"3Pl9m45VDjpu","Dzn8pkI8Jx",2023-01-12,18395,"02-DBC",5,50
"AiDzqLyWkpTj","3oa3PD52dg",2023-01-12,3386,"01-SB",5,75
"e4NicxUxY34e","wcKMa91KUG",2023-01-12,2988,"01-MB",1,30
"1TeHuUf0Y8OJ","2j52R0krLN",2023-01-12,5126,"02-CBC",1,7.5
"s7QxYuOtuxcA","mDUt21MV92",2023-01-12,5618,"01-SB",3,45
"znI8B1PmSMbG","7f3rFMv5e7",2023-01-12,11810,"01-LB",4,220
"qH9A4UnSuZpr","zbuHHgiQ0O",2023-01-12,14393,"02-CBC",1,7.5
"IvQ4JpU855j9","rYUjfW8HQE",2023-01-12,3060,"01-MB",4,120
"3UQpaJLXbDCr","UWvUq1RqwP",2023-01-13,2978,"02-CBC",3,22.5
"UHDmS1DvxWm8","vaU5wCtxHC",2023-01-13,13709,"02-DBC",1,10
"yZHCjlY03Ksn","oqu9Vp5BOT",2023-01-13,19065,"01-LB",5,275
"IXO1pKE4uVF8","7sE9i8d4qE",2023-01-13,15266,"01-MB",2,60
"H32iU5ZUXe1C","wdogAUS1BM",2023-01-13,5862,"02-DBC",2,20
"kbjdgZoZh7g6","2xjaJW5XTF",2023-01-13,8529,"01-MB",2,60
"ZcJjfwYWyN53","3WeFAYvwyW",2023-01-14,13360,"01-LB",4,220
"9ABCDtoqRD21","4MDf43c4ok",2023-01-14,10881,"02-DBC",3,30
"h5n97fbnPoxb","8ao4dMuLEd",2023-01-14,15451,"02-CBC",2,15
"GIVOpZoYbjr2","yAeZgB0etA",2023-01-14,11619,"01-MB",2,60
"LRJJdKbxNaE2","qFUJE6Df2L",2023-01-14,1174,"01-SB",4,60
"9JLsT8C31Eb4","5EFiN9yyxb",2023-01-15,18222,"01-SB",3,45
"dmB4r0VaEDoG","JUn7EBwa2u",2023-01-15,13127,"01-SB",4,60
"gbvf5kOIJ7xh","oI23Uei4Iv",2023-01-15,9844,"02-CBC",2,15
"nV9KV7Y0lv1R","9A4pQQMlYp",2023-01-15,12616,"01-SB",2,30
"uzURGfS8B1zV","ZgCsY52NkB",2023-01-16,14950,"01-SB",1,15
"VQ64yUTYLBAi","LpYeQnTEuJ",2023-01-16,4790,"01-MB",3,90
"soVQFfGd3trH","GuFZfqn3Qu",2023-01-16,17895,"02-DBC",4,40
"WigWiyQrWr8q","ny2Np7ifs2",2023-01-16,2335,"01-SB",5,75
"tW9kki012oE3","7zzZtkFLHd",2023-01-16,8519,"02-DBC",3,30
"ac2Qi9fmQcfd","jl2bimMBsE",2023-01-16,6207,"02-DBC",4,40
"ioCK1QEgTQo0","f6YcCJODSI",2023-01-16,12548,"02-CBC",2,15
"ifRLEUarsu5k","zHo5oq7OHR",2023-01-17,16344,"02-DBC",3,30
"OyE4gcIzVcre","fVmITDa7B1",2023-01-17,18230,"01-LB",3,165
"5jswXobhkDYC","jxur8KNvhn",2023-01-17,6163,"01-MB",2,60
"D7Dfz0aX6C2x","KS8oi24FLl",2023-01-17,2615,"02-CBC",1,7.5
"uh6in9l0AjEV","NrkdI341nR",2023-01-17,793,"02-CBC",3,22.5
"OxxUzbCB3jOm","CkAMJtitR7",2023-01-17,6078,"01-SB",1,15
"uY0RDT5GL12Q","iRR6ukvN9s",2023-01-18,9063,"01-MB",3,90
"7ZJhOM2cwr0b","LNIloAfybu",2023-01-18,17912,"01-MB",3,90
"08cK3eyu3ksn","j7dVCkrtky",2023-01-18,9875,"02-CBC",4,30
"DIGZ8SfdOqsi","7pHiLly8cN",2023-01-18,15079,"01-SB",1,15
"n31kblv6l399","gcGNryapw4",2023-01-18,10402,"01-LB",1,55
"TCJWNUKi4cAL","wDVSJ4OYzN",2023-01-18,16063,"02-DBC",4,40
"kvqc1Mm4m3sw","LFZWrgGXMR",2023-01-18,1088,"01-MB",4,120
"fDIgnp1wuZUe","N4lPnykfK4",2023-01-18,15735,"02-DBC",5,50
"Mz2KJQ7RVrjC","AXdIfPiNry",2023-01-18,11533,"01-SB",5,75
"8JKx5xu2lVaI","vnrU1henAH",2023-01-18,12966,"02-DBC",1,10
"QZ5p6TPuequ4","VEWra4Oprl",2023-01-18,8228,"02-DBC",1,10
"kXK4uzdfTtV8","56bFb9QTh2",2023-01-18,5316,"01-MB",2,60
"KRpcbLTMMGZM","M5YaES3nMS",2023-01-18,2164,"02-CBC",5,37.5
